,dtype,missing,n_unique,min,max
cat1,object,0,2,,
cat10,object,0,2,,
cat100,object,0,15,,
cat101,object,0,19,,
cat102,object,0,9,,
cat103,object,0,13,,
cat104,object,0,17,,
cat105,object,0,20,,
cat106,object,0,17,,
cat107,object,0,20,,
cat108,object,0,11,,
cat109,object,0,84,,
cat11,object,0,2,,
cat110,object,0,131,,
cat111,object,0,16,,
cat112,object,0,51,,
cat113,object,0,61,,
cat114,object,0,19,,
cat115,object,0,23,,
cat116,object,0,326,,
cat12,object,0,2,,
cat13,object,0,2,,
cat14,object,0,2,,
cat15,object,0,2,,
cat16,object,0,2,,
cat17,object,0,2,,
cat18,object,0,2,,
cat19,object,0,2,,
cat2,object,0,2,,
cat20,object,0,2,,
cat21,object,0,2,,
cat22,object,0,2,,
cat23,object,0,2,,
cat24,object,0,2,,
cat25,object,0,2,,
cat26,object,0,2,,
cat27,object,0,2,,
cat28,object,0,2,,
cat29,object,0,2,,
cat3,object,0,2,,
cat30,object,0,2,,
cat31,object,0,2,,
cat32,object,0,2,,
cat33,object,0,2,,
cat34,object,0,2,,
cat35,object,0,2,,
cat36,object,0,2,,
cat37,object,0,2,,
cat38,object,0,2,,
cat39,object,0,2,,
cat4,object,0,2,,
cat40,object,0,2,,
cat41,object,0,2,,
cat42,object,0,2,,
cat43,object,0,2,,
cat44,object,0,2,,
cat45,object,0,2,,
cat46,object,0,2,,
cat47,object,0,2,,
cat48,object,0,2,,
cat49,object,0,2,,
cat5,object,0,2,,
cat50,object,0,2,,
cat51,object,0,2,,
cat52,object,0,2,,
cat53,object,0,2,,
cat54,object,0,2,,
cat55,object,0,2,,
cat56,object,0,2,,
cat57,object,0,2,,
cat58,object,0,2,,
cat59,object,0,2,,
cat6,object,0,2,,
cat60,object,0,2,,
cat61,object,0,2,,
cat62,object,0,2,,
cat63,object,0,2,,
cat64,object,0,2,,
cat65,object,0,2,,
cat66,object,0,2,,
cat67,object,0,2,,
cat68,object,0,2,,
cat69,object,0,2,,
cat7,object,0,2,,
cat70,object,0,2,,
cat71,object,0,2,,
cat72,object,0,2,,
cat73,object,0,3,,
cat74,object,0,3,,
cat75,object,0,3,,
cat76,object,0,3,,
cat77,object,0,4,,
cat78,object,0,4,,
cat79,object,0,4,,
cat8,object,0,2,,
cat80,object,0,4,,
cat81,object,0,4,,
cat82,object,0,4,,
cat83,object,0,4,,
cat84,object,0,4,,
cat85,object,0,4,,
cat86,object,0,4,,
cat87,object,0,4,,
cat88,object,0,4,,
cat89,object,0,8,,
cat9,object,0,2,,
cat90,object,0,7,,
cat91,object,0,8,,
cat92,object,0,7,,
cat93,object,0,5,,
cat94,object,0,7,,
cat95,object,0,5,,
cat96,object,0,8,,
cat97,object,0,7,,
cat98,object,0,5,,
cat99,object,0,16,,
cont1,float64,0,647,1.6e-05,0.984975
cont10,float64,0,174,0.0,0.99498
cont11,float64,0,326,0.035321,0.998742
cont12,float64,0,328,0.036232,0.998484
cont13,float64,0,353,0.000228,0.988494
cont14,float64,0,18740,0.179722,0.844848
cont2,float64,0,33,0.001149,0.862654
cont3,float64,0,76,0.002634,0.944251
cont4,float64,0,112,0.176921,0.954297
cont5,float64,0,141,0.281143,0.983674
cont6,float64,0,2573,0.012683,0.997162
cont7,float64,0,5632,0.069503,1.0
cont8,float64,0,201,0.23688,0.9802
cont9,float64,0,347,8e-05,0.9954
id,int64,0,188318,1.0,587633.0
loss,float64,0,158223,0.67,121012.25
