field,n_levels,top_level,top_support,top_share,min_support,median_support,n_rare_levels,rare_row_share
cat1,2,A,141550,0.7516541169723553,46768,94159.0,0,0.0
cat2,2,A,106721,0.566706315912446,81597,94159.0,0,0.0
cat3,2,A,177993,0.9451725273208084,10325,94159.0,0,0.0
cat4,2,A,128395,0.681798872120562,59923,94159.0,0,0.0
cat5,2,A,123737,0.6570641149544919,64581,94159.0,0,0.0
cat6,2,A,131693,0.6993118023768307,56625,94159.0,0,0.0
cat7,2,A,183744,0.975711296848947,4574,94159.0,0,0.0
cat8,2,A,177274,0.9413545173589354,11044,94159.0,0,0.0
cat9,2,A,113122,0.600696693890122,75196,94159.0,0,0.0
cat10,2,A,160213,0.8507577608088446,28105,94159.0,0,0.0
cat11,2,A,168186,0.893095721067556,20132,94159.0,0,0.0
cat12,2,A,159825,0.848697416072813,28493,94159.0,0,0.0
cat13,2,A,168851,0.8966269820197751,19467,94159.0,0,0.0
cat14,2,A,186041,0.9879087500929279,2277,94159.0,0,0.0
cat15,2,A,188284,0.9998194543272549,34,94159.0,1,0.00018054567274503766
cat16,2,A,181843,0.9656166696757612,6475,94159.0,0,0.0
cat17,2,A,187009,0.993048991599316,1309,94159.0,0,0.0
cat18,2,A,187331,0.9947588653235485,987,94159.0,0,0.0
cat19,2,A,186510,0.9903992183434404,1808,94159.0,0,0.0
cat20,2,A,188114,0.9989167259635298,204,94159.0,0,0.0
cat21,2,A,187905,0.9978069010928323,413,94159.0,0,0.0
cat22,2,A,188275,0.999771662825646,43,94159.0,1,0.0002283371743540182
cat23,2,A,157445,0.8360592189806604,30873,94159.0,0,0.0
cat24,2,A,181977,0.9663282320330505,6341,94159.0,0,0.0
cat25,2,A,169969,0.9025637485529795,18349,94159.0,0,0.0
cat26,2,A,177119,0.9405314414978919,11199,94159.0,0,0.0
cat27,2,A,168250,0.8934355717456642,20068,94159.0,0,0.0
cat28,2,A,180938,0.960810968680636,7380,94159.0,0,0.0
cat29,2,A,184593,0.9802196285007275,3725,94159.0,0,0.0
cat30,2,A,184760,0.9811064263639163,3558,94159.0,0,0.0
cat31,2,A,182980,0.9716543293790291,5338,94159.0,0,0.0
cat32,2,A,187107,0.9935693879501694,1211,94159.0,0,0.0
cat33,2,A,187361,0.9949181703289117,957,94159.0,0,0.0
cat34,2,A,187734,0.9968988625622617,584,94159.0,0,0.0
cat35,2,A,188105,0.9988689344619208,213,94159.0,0,0.0
cat36,2,A,156313,0.8300481101116197,32005,94159.0,0,0.0
cat37,2,A,165729,0.8800486411283043,22589,94159.0,0,0.0
cat38,2,A,169323,0.8991333807708238,18995,94159.0,0,0.0
cat39,2,A,183393,0.9738474282861967,4925,94159.0,0,0.0
cat40,2,A,180119,0.9564619420342187,8199,94159.0,0,0.0
cat41,2,A,181177,0.9620800985566966,7141,94159.0,0,0.0
cat42,2,A,186623,0.9909992671969753,1695,94159.0,0,0.0
cat43,2,A,184110,0.9776548179143789,4208,94159.0,0,0.0
cat44,2,A,172716,0.9171507768774095,15602,94159.0,0,0.0
cat45,2,A,183991,0.9770229080597712,4327,94159.0,0,0.0
cat46,2,A,187436,0.9953164328423199,882,94159.0,0,0.0
cat47,2,A,187617,0.996277573041345,701,94159.0,0,0.0
cat48,2,A,188049,0.998571565118576,269,94159.0,0,0.0
cat49,2,A,179127,0.95119425652354,9191,94159.0,0,0.0
cat50,2,A,137611,0.7307373697681581,50707,94159.0,0,0.0
cat51,2,A,187071,0.9933782219437335,1247,94159.0,0,0.0
cat52,2,A,179505,0.9532014995911171,8813,94159.0,0,0.0
cat53,2,A,172949,0.9183880457523975,15369,94159.0,0,0.0
cat54,2,A,183762,0.975806879852165,4556,94159.0,0,0.0
cat55,2,A,188173,0.9992300258074108,145,94159.0,1,0.0007699741925891312
cat56,2,A,188136,0.9990335496341295,182,94159.0,1,0.0009664503658704957
cat57,2,A,185296,0.9839526757930734,3022,94159.0,0,0.0
cat58,2,A,188079,0.9987308701239392,239,94159.0,0,0.0
cat59,2,A,188018,0.9984069499463674,300,94159.0,0,0.0
cat60,2,A,187872,0.9976316655869327,446,94159.0,0,0.0
cat61,2,A,187596,0.9961660595375906,722,94159.0,0,0.0
cat62,2,A,188273,0.9997610424919551,45,94159.0,1,0.00023895750804490276
cat63,2,A,188239,0.99958049681921,79,94159.0,1,0.0004195031807899404
cat64,2,A,188271,0.9997504221582643,47,94159.0,1,0.0002495778417357873
cat65,2,A,186056,0.9879884025956096,2262,94159.0,0,0.0
cat66,2,A,179982,0.9557344491763932,8336,94159.0,0,0.0
cat67,2,A,187626,0.996325364542954,692,94159.0,0,0.0
cat68,2,A,188176,0.9992459563079472,142,94159.0,1,0.0007540436920528043
cat69,2,A,188011,0.9983697787784492,307,94159.0,0,0.0
cat70,2,A,188295,0.9998778661625548,23,94159.0,1,0.00012213383744517253
cat71,2,A,178646,0.9486400662708823,9672,94159.0,0,0.0
cat72,2,A,118322,0.6283095614864219,69996,94159.0,0,0.0
cat73,3,A,154275,0.8192259900806084,26,34017.0,1,0.00013806433798149937
cat74,3,A,184731,0.9809524315253986,26,3561.0,1,0.00013806433798149937
cat75,3,A,154307,0.8193959154196625,1,34010.0,1,5.310166845442284e-06
cat76,3,A,181347,0.9629828269204218,788,6183.0,0,0.0
cat77,4,D,187503,0.9956722140209645,49,383.0,1,0.0002601981754266719
cat78,4,B,186526,0.9904841810129674,359,716.5,0,0.0
