column,role,source_dtype,workflow_dtype,missing,n_unique,min,max
id,identifier,int64,int64,0,188318,1.0,587633.0
cat1,categorical_predictor,object,category,0,2,,
cat2,categorical_predictor,object,category,0,2,,
cat3,categorical_predictor,object,category,0,2,,
cat4,categorical_predictor,object,category,0,2,,
cat5,categorical_predictor,object,category,0,2,,
cat6,categorical_predictor,object,category,0,2,,
cat7,categorical_predictor,object,category,0,2,,
cat8,categorical_predictor,object,category,0,2,,
cat9,categorical_predictor,object,category,0,2,,
cat10,categorical_predictor,object,category,0,2,,
cat11,categorical_predictor,object,category,0,2,,
cat12,categorical_predictor,object,category,0,2,,
cat13,categorical_predictor,object,category,0,2,,
cat14,categorical_predictor,object,category,0,2,,
cat15,categorical_predictor,object,category,0,2,,
cat16,categorical_predictor,object,category,0,2,,
cat17,categorical_predictor,object,category,0,2,,
cat18,categorical_predictor,object,category,0,2,,
cat19,categorical_predictor,object,category,0,2,,
cat20,categorical_predictor,object,category,0,2,,
cat21,categorical_predictor,object,category,0,2,,
cat22,categorical_predictor,object,category,0,2,,
cat23,categorical_predictor,object,category,0,2,,
cat24,categorical_predictor,object,category,0,2,,
cat25,categorical_predictor,object,category,0,2,,
cat26,categorical_predictor,object,category,0,2,,
cat27,categorical_predictor,object,category,0,2,,
cat28,categorical_predictor,object,category,0,2,,
cat29,categorical_predictor,object,category,0,2,,
cat30,categorical_predictor,object,category,0,2,,
cat31,categorical_predictor,object,category,0,2,,
cat32,categorical_predictor,object,category,0,2,,
cat33,categorical_predictor,object,category,0,2,,
cat34,categorical_predictor,object,category,0,2,,
cat35,categorical_predictor,object,category,0,2,,
cat36,categorical_predictor,object,category,0,2,,
cat37,categorical_predictor,object,category,0,2,,
cat38,categorical_predictor,object,category,0,2,,
cat39,categorical_predictor,object,category,0,2,,
cat40,categorical_predictor,object,category,0,2,,
cat41,categorical_predictor,object,category,0,2,,
cat42,categorical_predictor,object,category,0,2,,
cat43,categorical_predictor,object,category,0,2,,
cat44,categorical_predictor,object,category,0,2,,
cat45,categorical_predictor,object,category,0,2,,
cat46,categorical_predictor,object,category,0,2,,
cat47,categorical_predictor,object,category,0,2,,
cat48,categorical_predictor,object,category,0,2,,
cat49,categorical_predictor,object,category,0,2,,
cat50,categorical_predictor,object,category,0,2,,
cat51,categorical_predictor,object,category,0,2,,
cat52,categorical_predictor,object,category,0,2,,
cat53,categorical_predictor,object,category,0,2,,
cat54,categorical_predictor,object,category,0,2,,
cat55,categorical_predictor,object,category,0,2,,
cat56,categorical_predictor,object,category,0,2,,
cat57,categorical_predictor,object,category,0,2,,
cat58,categorical_predictor,object,category,0,2,,
cat59,categorical_predictor,object,category,0,2,,
cat60,categorical_predictor,object,category,0,2,,
cat61,categorical_predictor,object,category,0,2,,
cat62,categorical_predictor,object,category,0,2,,
cat63,categorical_predictor,object,category,0,2,,
cat64,categorical_predictor,object,category,0,2,,
cat65,categorical_predictor,object,category,0,2,,
cat66,categorical_predictor,object,category,0,2,,
cat67,categorical_predictor,object,category,0,2,,
cat68,categorical_predictor,object,category,0,2,,
cat69,categorical_predictor,object,category,0,2,,
cat70,categorical_predictor,object,category,0,2,,
cat71,categorical_predictor,object,category,0,2,,
cat72,categorical_predictor,object,category,0,2,,
cat73,categorical_predictor,object,category,0,3,,
cat74,categorical_predictor,object,category,0,3,,
