field,level,support,mean_loss,median_loss,std_loss,q25_loss,q75_loss,iqr_loss,is_rare
cat1,A,141550,3408.0915145178383,2458.6899999999996,3122.4366291296437,1378.375,4407.110000000001,3028.7350000000006,False
cat1,B,46768,1915.19852056962,1444.8600000000001,1666.0823370494115,916.96,2331.1275,1414.1675,False
cat2,A,106721,2454.1398437983153,1739.25,2361.3098596297195,1042.77,3000.32,1957.5500000000002,False
cat2,B,81597,3800.104170741571,2833.99,3338.4219752997346,1559.92,4984.62,3424.7,False
cat3,A,177993,2902.2197510576257,2033.38,2780.4020306670627,1173.08,3652.8,2479.7200000000003,False
cat3,B,10325,5366.640013559322,4570.91,3849.0441889462695,2675.08,6982.95,4307.87,False
cat4,A,128395,2826.826831185015,1974.74,2709.744505713497,1118.48,3576.35,2457.87,False
cat4,B,59923,3488.3922250221117,2457.71,3236.220466486642,1420.68,4481.254999999999,3060.574999999999,False
cat5,A,123737,2814.648334855379,1947.07,2730.7306637982188,1106.73,3574.58,2467.85,False
cat5,B,64581,3464.009805980087,2464.84,3166.763195979903,1432.59,4401.91,2969.3199999999997,False
cat6,A,131693,3259.916396087871,2341.86,3005.5114810259215,1352.17,4159.83,2807.66,False
cat6,B,56625,2519.6854452980133,1637.5,2580.0534271010206,955.95,3076.21,2120.26,False
cat7,A,183744,2908.94434169279,2073.635,2683.995880056044,1189.54,3734.64,2545.1,False
cat7,B,4574,8195.0785242676,7614.575,5530.075731065551,4018.1225,11052.244999999999,7034.1224999999995,False
cat8,A,177274,2975.5585590103456,2070.73,2852.6096483904016,1184.33,3770.425,2586.0950000000003,False
cat8,B,11044,4028.9922401303875,3035.31,3485.225673468583,1702.1599999999999,5240.9175,3538.7574999999997,False
cat9,A,113122,2512.009126076272,1778.855,2406.251987112469,1063.46,3082.45,2018.9899999999998,False
cat9,B,75196,3827.621973642215,2856.755,3372.114753827499,1559.48,5025.467500000001,3465.9875000000006,False
cat10,A,160213,2694.1355275789106,1902.69,2565.3063335223133,1117.08,3348.92,2231.84,False
cat10,B,28105,4993.767052481764,4089.17,3807.58450543223,2405.21,6463.21,4058.0,False
