field,derived_field,bin_number,bin_label,left_edge,right_edge,observed_min,observed_max,support,mean_loss,median_loss,loss_q1,loss_q3,loss_iqr
cont1,cont1_quantile_bin,1,B1,1.6e-05,0.282512,1.6e-05,0.282512,19251,3036.5394031478886,2209.82,1228.315,4013.915,2785.6
cont1,cont1_quantile_bin,2,B2,0.282512,0.325401,0.283689,0.325401,20166,3045.865114053357,2194.015,1214.135,4019.0625,2804.9275
cont1,cont1_quantile_bin,3,B3,0.325401,0.372785,0.326675,0.372785,17328,3215.1190483610344,2192.145,1208.5625,4175.8099999999995,2967.2474999999995
cont1,cont1_quantile_bin,4,B4,0.372785,0.45271,0.374142,0.45271,19430,3133.854526505404,2136.54,1216.315,3943.3175,2727.0025
cont1,cont1_quantile_bin,5,B5,0.45271,0.475784,0.454147,0.475784,19216,3006.873916007494,2045.835,1147.855,3802.7625,2654.9075
cont1,cont1_quantile_bin,6,B6,0.475784,0.501862,0.477231,0.501862,17969,3046.1935249596527,2111.94,1200.07,3926.44,2726.37
cont1,cont1_quantile_bin,7,B7,0.501862,0.555279,0.503312,0.555279,18512,3064.8137921348316,2110.4449999999997,1175.8525,3924.5725,2748.7200000000003
cont1,cont1_quantile_bin,8,B8,0.555279,0.642763,0.55671,0.642763,19980,2777.3741306306306,1937.0349999999999,1133.5525,3410.54,2276.9875
cont1,cont1_quantile_bin,9,B9,0.642763,0.772995,0.644094,0.772995,17941,2938.553535477398,2014.89,1184.66,3648.29,2463.63
cont1,cont1_quantile_bin,10,B10,0.772995,0.984975,0.774011,0.984975,18525,3132.9634753036435,2237.6,1352.82,3799.65,2446.83
cont2,cont2_quantile_bin,1,B1,0.001149,0.199504,0.001149,0.199504,21257,2120.2675923225293,1740.26,1078.02,2753.37,1675.35
cont2,cont2_quantile_bin,2,B2,0.199504,0.299102,0.245921,0.299102,21001,2650.054737393458,2109.64,1218.34,3543.23,2324.8900000000003
cont2,cont2_quantile_bin,3,B3,0.299102,0.358319,0.358319,0.358319,14370,2815.646257480863,2141.76,1221.4575,3769.455,2547.9975
cont2,cont2_quantile_bin,4,B4,0.358319,0.488789,0.422197,0.488789,35670,3008.030695262125,2190.185,1224.8025,4003.9249999999997,2779.1224999999995
cont2,cont2_quantile_bin,5,B5,0.488789,0.555782,0.555782,0.555782,20975,3216.650566865316,2221.06,1242.21,4234.74,2992.5299999999997
cont2,cont2_quantile_bin,6,B6,0.555782,0.620805,0.620805,0.620805,20190,3398.676783060921,2258.145,1258.08,4392.2275,3134.1475
cont2,cont2_quantile_bin,7,B7,0.620805,0.737068,0.681761,0.737068,32172,3399.2396817108042,2225.165,1232.6575,4342.02,3109.3625
cont2,cont2_quantile_bin,8,B8,0.737068,0.785784,0.785784,0.785784,15475,3422.4219560581582,2107.07,1180.4,4188.805,3008.405
cont2,cont2_quantile_bin,9,B9,0.785784,0.862654,0.827585,0.862654,7208,3481.2555799112097,2123.25,1158.55,4238.9400000000005,3080.3900000000003
cont3,cont3_quantile_bin,1,B1,0.002634,0.215772,0.002634,0.215772,21348,2590.691484448192,1955.21,1168.02,3297.1974999999998,2129.1775
cont3,cont3_quantile_bin,2,B2,0.215772,0.280933,0.230975,0.280933,18185,2785.2772103381903,2053.95,1212.52,3535.78,2323.26
cont3,cont3_quantile_bin,3,B3,0.280933,0.397983,0.298977,0.397983,19942,2857.238864206198,2024.56,1215.3200000000002,3499.8224999999998,2284.5024999999996
cont3,cont3_quantile_bin,4,B4,0.397983,0.484196,0.419161,0.484196,24771,2798.176765168948,2086.5,1189.08,3656.25,2467.17
cont3,cont3_quantile_bin,5,B5,0.484196,0.527991,0.506105,0.527991,17427,3013.7799064669766,2115.64,1157.245,3968.895,2811.65
cont3,cont3_quantile_bin,6,B6,0.527991,0.54977,0.54977,0.54977,16490,3066.7675512431774,2205.435,1221.0075,4067.9500000000003,2846.9425
cont3,cont3_quantile_bin,7,B7,0.54977,0.61366,0.57136,0.61366,20105,3002.829257398657,2088.59,1170.76,3980.43,2809.67
cont3,cont3_quantile_bin,8,B8,0.61366,0.673861,0.634224,0.673861,12976,3295.422866060419,2206.87,1239.625,4209.84,2970.215
cont3,cont3_quantile_bin,9,B9,0.673861,0.745801,0.692825,0.745801,19045,3406.9738199002363,2206.41,1206.39,4341.93,3135.54
cont3,cont3_quantile_bin,10,B10,0.745801,0.944251,0.762059,0.944251,18029,3806.371470963448,2426.01,1306.3,4721.6,3415.3
cont4,cont4_quantile_bin,1,B1,0.176921,0.229617,0.176921,0.229617,21658,3169.809776064272,2204.16,1216.72,4064.3375,2847.6175000000003
cont4,cont4_quantile_bin,2,B2,0.229617,0.284048,0.236924,0.284048,16384,3360.094924926758,2236.545,1242.3075,4196.065,2953.7574999999997
cont4,cont4_quantile_bin,3,B3,0.284048,0.345595,0.29243,0.345595,18526,3010.0603314261034,2126.8900000000003,1197.255,3833.7975,2636.5425
cont4,cont4_quantile_bin,4,B4,0.345595,0.393132,0.354893,0.393132,19274,2999.5639332779906,2094.66,1176.3325,3877.7825000000003,2701.4500000000003
cont4,cont4_quantile_bin,5,B5,0.393132,0.452887,0.402922,0.452887,19911,3261.8867786650594,2265.37,1257.9850000000001,4284.885,3026.9
cont4,cont4_quantile_bin,6,B6,0.452887,0.50382,0.463029,0.50382,17732,3079.579172118204,2128.855,1205.2275,3890.1525,2684.925
cont4,cont4_quantile_bin,7,B7,0.50382,0.614134,0.514031,0.614134,21461,2819.6079199478118,1951.24,1113.0,3565.71,2452.71
cont4,cont4_quantile_bin,8,B8,0.614134,0.722125,0.62377,0.722125,16640,2812.0059897836536,2043.39,1230.8975,3527.2825000000003,2296.385
cont4,cont4_quantile_bin,9,B9,0.722125,0.815505,0.730249,0.815505,17913,2921.2507335454698,2081.25,1238.33,3655.51,2417.1800000000003
cont4,cont4_quantile_bin,10,B10,0.815505,0.954297,0.821574,0.954297,18819,2950.081024496519,2070.77,1186.395,3747.925,2561.53
cont5,cont5_quantile_bin,1,B1,0.281143,0.295397,0.281143,0.295397,56814,3124.3627132396946,2150.7349999999997,1240.3775,3904.9475,2664.57
cont5,cont5_quantile_bin,2,B2,0.295397,0.372405,0.302678,0.372405,21740,2942.2949567617293,2057.1800000000003,1197.3449999999998,3727.7799999999997,2530.435
cont5,cont5_quantile_bin,3,B3,0.372405,0.422268,0.38056,0.422268,21753,2957.877732266814,2111.01,1205.98,3780.83,2574.85
cont5,cont5_quantile_bin,4,B4,0.422268,0.499798,0.430765,0.499798,13313,3036.037998948396,2163.87,1237.29,3925.74,2688.45
cont5,cont5_quantile_bin,5,B5,0.499798,0.585792,0.508483,0.585792,18640,3230.4066620171675,2199.785,1221.0125,4079.3425,2858.33
cont5,cont5_quantile_bin,6,B6,0.585792,0.718531,0.594196,0.718531,19089,2916.6059866939077,2034.82,1170.35,3658.42,2488.07
cont5,cont5_quantile_bin,7,B7,0.718531,0.82168,0.725503,0.82168,18994,2860.9300747604507,2090.44,1161.3325,3765.5075,2604.175
cont5,cont5_quantile_bin,8,B8,0.82168,0.983674,0.826714,0.983674,17975,3088.7597691237834,2093.7,1139.2150000000001,4053.285,2914.0699999999997
cont6,cont6_quantile_bin,1,B1,0.012683,0.240069,0.012683,0.240069,20708,2870.491589240873,2139.515,1203.2825,3859.1675,2655.885
cont6,cont6_quantile_bin,2,B2,0.240069,0.314937,0.240499,0.314937,17014,2855.2277101210766,2134.615,1207.97,3766.385,2558.415
cont6,cont6_quantile_bin,3,B3,0.314937,0.357412,0.315191,0.357412,19342,2901.5791495191806,2096.7349999999997,1183.8899999999999,3855.8,2671.9100000000003
cont6,cont6_quantile_bin,4,B4,0.357412,0.393798,0.357952,0.393798,18388,3039.772381988253,2102.38,1160.0475,4019.915,2859.8675000000003
cont6,cont6_quantile_bin,5,B5,0.393798,0.440945,0.394078,0.440945,19090,2981.9643797799895,2032.96,1138.205,3849.4025,2711.1975
cont6,cont6_quantile_bin,6,B6,0.440945,0.516224,0.441235,0.516224,18478,3203.3042618248733,2107.255,1185.9725,4027.6925,2841.7200000000003
cont6,cont6_quantile_bin,7,B7,0.516224,0.603785,0.516518,0.603785,18812,3127.368430257283,2063.6850000000004,1190.8775,3795.8199999999997,2604.9424999999997
cont6,cont6_quantile_bin,8,B8,0.603785,0.690467,0.604067,0.690467,18870,2948.3583550609433,2054.11,1180.2725,3660.2625000000003,2479.9900000000002
cont6,cont6_quantile_bin,9,B9,0.690467,0.808958,0.69097,0.808958,18978,3109.0192680999053,2175.635,1253.2075,3875.2,2621.9925
cont6,cont6_quantile_bin,10,B10,0.808958,0.997162,0.809684,0.997162,18638,3345.8415511320954,2256.545,1343.02,4019.865,2676.845
cont7,cont7_quantile_bin,1,B1,0.069503,0.289543,0.069503,0.289543,18925,2773.282565389696,2085.55,1189.7,3717.9,2528.2
cont7,cont7_quantile_bin,2,B2,0.289543,0.33616,0.289746,0.33616,19097,2857.0948285070954,2131.6,1212.47,3811.09,2598.62
cont7,cont7_quantile_bin,3,B3,0.33616,0.364911,0.33627,0.364911,18496,2743.5672058823525,2024.94,1151.5025,3630.38,2478.8775
cont7,cont7_quantile_bin,4,B4,0.364911,0.401162,0.365026,0.401162,19223,2914.72022056911,2062.83,1163.1750000000002,3844.735,2681.56
cont7,cont7_quantile_bin,5,B5,0.401162,0.438285,0.401613,0.438285,18426,2871.200263215022,2008.56,1147.3899999999999,3683.59,2536.2000000000003
cont7,cont7_quantile_bin,6,B6,0.438285,0.492874,0.438407,0.492874,19000,2841.345462631579,1994.63,1155.9625,3552.6775000000002,2396.715
cont7,cont7_quantile_bin,7,B7,0.492874,0.557638,0.492997,0.557638,18686,2959.914339077384,2070.9700000000003,1189.07,3753.9875,2564.9175000000005
cont7,cont7_quantile_bin,8,B8,0.557638,0.635029,0.557882,0.635029,18867,3095.981560926485,2180.98,1241.93,3891.16,2649.2299999999996
cont7,cont7_quantile_bin,9,B9,0.635029,0.749925,0.635144,0.749925,18783,3356.2799590054838,2226.65,1251.305,4185.27,2933.965
cont7,cont7_quantile_bin,10,B10,0.749925,1.0,0.750017,1.0,18815,3960.2556577199043,2440.88,1357.6,4778.335,3420.735
cont8,cont8_quantile_bin,1,B1,0.23688,0.26847,0.23688,0.26847,27577,2864.961548391776,2075.39,1168.19,3773.67,2605.48
cont8,cont8_quantile_bin,2,B2,0.26847,0.29758,0.2732,0.29758,14052,2931.988860660404,2080.645,1187.415,3779.9425,2592.5275
cont8,cont8_quantile_bin,3,B3,0.29758,0.33906,0.3026,0.33906,17193,3062.545720351306,2086.09,1173.42,3868.02,2694.6
cont8,cont8_quantile_bin,4,B4,0.33906,0.36083,0.34445,0.36083,16621,2869.471471030624,2032.32,1151.43,3677.64,2526.21
cont8,cont8_quantile_bin,5,B5,0.36083,0.44106,0.36636,0.44106,19402,3033.0913508916606,2064.3599999999997,1193.605,3743.2175,2549.6125
cont8,cont8_quantile_bin,6,B6,0.44106,0.5245,0.44697,0.5245,19522,3102.8417580165965,2127.235,1211.85,3912.63,2700.78
cont8,cont8_quantile_bin,7,B7,0.5245,0.58354,0.53046,0.58354,17958,3103.372567657868,2183.005,1235.8225,3974.6525,2738.83
cont8,cont8_quantile_bin,8,B8,0.58354,0.67263,0.58934,0.67263,19348,3072.8489218523882,2139.135,1208.775,3925.1025,2716.3275
cont8,cont8_quantile_bin,9,B9,0.67263,0.79284,0.67787,0.79284,17826,3230.627772354987,2202.1,1235.5525,4084.3,2848.7475000000004
cont8,cont8_quantile_bin,10,B10,0.79284,0.9802,0.79674,0.9802,18819,3147.640200860832,2188.35,1293.495,3930.255,2636.76
cont9,cont9_quantile_bin,1,B1,8e-05,0.30859,8e-05,0.30859,19545,3004.2933977999487,2197.72,1217.66,3954.95,2737.29
cont9,cont9_quantile_bin,2,B2,0.30859,0.33611,0.31039,0.33611,18348,2894.8153455417482,2135.865,1192.95,3857.55,2664.6000000000004
cont9,cont9_quantile_bin,3,B3,0.33611,0.38249,0.33799,0.38249,24164,3053.9015630690287,2147.5,1200.68,3977.74,2777.0599999999995
cont9,cont9_quantile_bin,4,B4,0.38249,0.40252,0.38448,0.40252,13500,2802.7980074074076,2036.02,1159.8374999999999,3628.6099999999997,2468.7725
cont9,cont9_quantile_bin,5,B5,0.40252,0.44145,0.40455,0.44145,19334,3170.1227480086895,2108.37,1185.0874999999999,3996.4625,2811.375
cont9,cont9_quantile_bin,6,B6,0.44145,0.46853,0.44352,0.46853,20115,3006.690434998757,2038.21,1137.415,3880.64,2743.225
cont9,cont9_quantile_bin,7,B7,0.46853,0.521,0.47062,0.521,18281,3137.074839997812,2103.18,1200.18,3932.0,2731.8199999999997
cont9,cont9_quantile_bin,8,B8,0.521,0.62542,0.52309,0.62542,17861,3128.9541039135547,2079.71,1191.79,3804.61,2612.82
cont9,cont9_quantile_bin,9,B9,0.62542,0.79047,0.62738,0.79047,18508,2972.882975470067,2037.975,1198.7825,3688.1575,2489.375
