field,count,mean,std,min,q1,median,q3,max,iqr,unique_count,missing_count,missing_pct
cont1,188318.0,0.4938613645641947,0.18764017641389147,1.6e-05,0.34609,0.475784,0.623912,0.984975,0.277822,647,0,0.0
cont2,188318.0,0.507188356179441,0.20720173860985053,0.001149,0.358319,0.555782,0.681761,0.862654,0.32344199999999995,33,0,0.0
cont3,188318.0,0.49891845072165164,0.20210460819339118,0.002634,0.336963,0.527991,0.634224,0.944251,0.297261,76,0,0.0
cont4,188318.0,0.49181230258923736,0.21129221269281206,0.176921,0.327354,0.452887,0.652072,0.954297,0.324718,112,0,0.0
cont5,188318.0,0.4874277287832284,0.2090268285445706,0.281143,0.281143,0.422268,0.643315,0.983674,0.362172,141,0,0.0
cont6,188318.0,0.49094453373548996,0.20527256983551662,0.012683,0.336105,0.440945,0.655021,0.997162,0.318916,2573,0,0.0
cont7,188318.0,0.48497020506802324,0.1784501639606873,0.069503,0.350175,0.438285,0.591045,1.0,0.24087000000000003,5632,0,0.0
cont8,188318.0,0.4864373158699647,0.1993704545613582,0.23688,0.3128,0.44106,0.62358,0.9802,0.31078,201,0,0.0
cont9,188318.0,0.48550631989507115,0.18166017135079005,8e-05,0.35897,0.44145,0.56682,0.9954,0.20784999999999998,347,0,0.0
cont10,188318.0,0.4980658504232204,0.1858767259320329,0.0,0.36458,0.46119,0.61459,0.99498,0.25000999999999995,174,0,0.0
cont11,188318.0,0.4935110085546788,0.2097365114474752,0.035321,0.310961,0.457203,0.678924,0.998742,0.367963,326,0,0.0
cont12,188318.0,0.4931504256258032,0.20942662107604848,0.036232,0.311661,0.462286,0.675759,0.998484,0.364098,328,0,0.0
cont13,188318.0,0.4931376158359797,0.2127772423224039,0.000228,0.315758,0.363547,0.689974,0.988494,0.374216,353,0,0.0
cont14,188318.0,0.49571701797491485,0.22248753955922962,0.179722,0.29461,0.407403,0.724623,0.844848,0.43001300000000003,18740,0,0.0
