field_1,field_2,pearson_r,absolute_r
cont11,cont12,0.9943841100222036,0.9943841100222036
cont1,cont9,0.9299117057620868,0.9299117057620868
cont6,cont10,0.8833505068489653,0.8833505068489653
cont6,cont13,0.8150910765208776,0.8150910765208776
cont1,cont10,0.808550869433555,0.808550869433555
cont6,cont9,0.7975435189948881,0.7975435189948881
cont9,cont10,0.7856967914962641,0.7856967914962641
cont6,cont12,0.7851439724373066,0.7851439724373066
cont6,cont11,0.7737454535517788,0.7737454535517788
cont1,cont6,0.7583153164367251,0.7583153164367251
cont7,cont11,0.7471079167884334,0.7471079167884334
cont7,cont12,0.7427122632499452,0.7427122632499452
cont10,cont12,0.7138119332651865,0.7138119332651865
cont10,cont13,0.7078763931019292,0.7078763931019292
cont10,cont11,0.7028955435077645,0.7028955435077645
cont6,cont7,0.6589182968091386,0.6589182968091386
cont9,cont13,0.6420276948884264,0.6420276948884264
cont9,cont12,0.6266564373275377,0.6266564373275377
cont1,cont12,0.6142254546728486,0.6142254546728486
cont9,cont11,0.6080004698114104,0.6080004698114104
cont1,cont11,0.596089796142411,0.596089796142411
cont1,cont13,0.5348495237416716,0.5348495237416716
cont4,cont8,0.5287402972174362,0.5287402972174362
cont7,cont10,0.49262070698937266,0.49262070698937266
cont12,cont13,0.4786766747105185,0.4786766747105185
cont8,cont13,0.4764015855220331,0.4764015855220331
cont11,cont13,0.4662466687157811,0.4662466687157811
cont2,cont3,0.4558609232694724,0.4558609232694724
cont8,cont9,0.4526575253435194,0.4526575253435194
cont1,cont3,-0.4454314863455896,0.4454314863455896
cont6,cont8,0.4374371313783927,0.4374371313783927
cont3,cont13,-0.4182025800950457,0.4182025800950457
cont3,cont9,-0.4170540529290114,0.4170540529290114
cont7,cont9,0.38434291217408517,0.38434291217408517
cont1,cont4,0.367549224481326,0.367549224481326
cont1,cont7,0.367384466459488,0.367384466459488
cont1,cont8,0.36116252211175925,0.36116252211175925
cont3,cont6,-0.3492777441070139,0.3492777441070139
cont3,cont4,-0.3416332046286756,0.3416332046286756
cont8,cont10,0.33658771937118415,0.33658771937118415
cont4,cont9,0.3289606391810969,0.3289606391810969
cont3,cont10,-0.3255620442545824,0.3255620442545824
cont8,cont12,0.31590415212123985,0.31590415212123985
cont8,cont11,0.30238054176765966,0.30238054176765966
cont7,cont13,0.28839490807264995,0.28839490807264995
cont4,cont10,0.2832942217105001,0.2832942217105001
cont5,cont7,-0.24934373085778389,0.24934373085778389
cont4,cont6,0.22093229216488164,0.22093229216488164
cont2,cont5,0.19142746013854833,0.19142746013854833
cont3,cont8,-0.18543231552104994,0.18543231552104994
cont4,cont13,0.17934192948808353,0.17934192948808353
cont4,cont5,0.163747694721437,0.163747694721437
cont5,cont11,-0.15154819149023327,0.15154819149023327
cont5,cont6,-0.14981040067869242,0.14981040067869242
cont5,cont12,-0.14821668189054477,0.14821668189054477
cont7,cont8,0.1420420792362353,0.1420420792362353
cont2,cont8,0.13746777378761363,0.13746777378761363
cont4,cont12,0.13045302744643694,0.13045302744643694
cont4,cont11,0.12092660758300068,0.12092660758300068
cont2,cont11,0.11682355284147325,0.11682355284147325
cont4,cont7,-0.11506356805997625,0.11506356805997625
cont2,cont12,0.10625016401767298,0.10625016401767298
cont3,cont7,0.09751599216147677,0.09751599216147677
cont3,cont5,0.08941735967198565,0.08941735967198565
cont5,cont9,-0.08820195753770199,0.08820195753770199
cont1,cont2,-0.08518029387716002,0.08518029387716002
cont5,cont13,-0.0829145172693868,0.0829145172693868
cont9,cont14,0.07415381447994188,0.07415381447994188
cont5,cont10,-0.064966839191118,0.064966839191118
cont2,cont10,0.063526396547325,0.063526396547325
cont1,cont14,0.05668837438540839,0.05668837438540839
cont12,cont14,0.05026657986792833,0.05026657986792833
cont2,cont7,0.048187156222874575,0.048187156222874575
cont13,cont14,0.04754275116367265,0.04754275116367265
cont11,cont14,0.04729287072139841,0.04729287072139841
cont2,cont14,-0.045584248512058154,0.045584248512058154
cont8,cont14,0.0435393503860251,0.0435393503860251
cont6,cont14,0.04217771657784682,0.04217771657784682
cont10,cont14,0.041808322492887705,0.041808322492887705
cont3,cont14,-0.03959231862594589,0.03959231862594589
cont2,cont4,0.038693109853020095,0.038693109853020095
cont2,cont9,-0.032729128846022276,0.032729128846022276
cont3,cont11,0.025270912781214506,0.025270912781214506
cont1,cont5,-0.025229955620215967,0.025229955620215967
cont2,cont13,0.023334652627749013,0.023334652627749013
cont7,cont14,0.02228598095784132,0.02228598095784132
cont5,cont14,-0.021637795140478033,0.021637795140478033
cont4,cont14,0.017445427109677173,0.017445427109677173
cont2,cont6,0.015863886737244186,0.015863886737244186
cont5,cont8,0.009014700138595838,0.009014700138595838
cont3,cont12,0.006110641572276844,0.006110641572276844
