field,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
cont1,1.0,-0.08518029387716002,-0.4454314863455896,0.367549224481326,-0.025229955620215967,0.7583153164367251,0.367384466459488,0.36116252211175925,0.9299117057620868,0.808550869433555,0.596089796142411,0.6142254546728486,0.5348495237416716,0.05668837438540839
cont2,-0.08518029387716002,1.0,0.4558609232694724,0.038693109853020095,0.19142746013854833,0.015863886737244186,0.048187156222874575,0.13746777378761363,-0.032729128846022276,0.063526396547325,0.11682355284147325,0.10625016401767298,0.023334652627749013,-0.045584248512058154
cont3,-0.4454314863455896,0.4558609232694724,1.0,-0.3416332046286756,0.08941735967198565,-0.3492777441070139,0.09751599216147677,-0.18543231552104994,-0.4170540529290114,-0.3255620442545824,0.025270912781214506,0.006110641572276844,-0.4182025800950457,-0.03959231862594589
cont4,0.367549224481326,0.038693109853020095,-0.3416332046286756,1.0,0.163747694721437,0.22093229216488164,-0.11506356805997625,0.5287402972174362,0.3289606391810969,0.2832942217105001,0.12092660758300068,0.13045302744643694,0.17934192948808353,0.017445427109677173
cont5,-0.025229955620215967,0.19142746013854833,0.08941735967198565,0.163747694721437,1.0,-0.14981040067869242,-0.24934373085778389,0.009014700138595838,-0.08820195753770199,-0.064966839191118,-0.15154819149023327,-0.14821668189054477,-0.0829145172693868,-0.021637795140478033
cont6,0.7583153164367251,0.015863886737244186,-0.3492777441070139,0.22093229216488164,-0.14981040067869242,1.0,0.6589182968091386,0.4374371313783927,0.7975435189948881,0.8833505068489653,0.7737454535517788,0.7851439724373066,0.8150910765208776,0.04217771657784682
cont7,0.367384466459488,0.048187156222874575,0.09751599216147677,-0.11506356805997625,-0.24934373085778389,0.6589182968091386,1.0,0.1420420792362353,0.38434291217408517,0.49262070698937266,0.7471079167884334,0.7427122632499452,0.28839490807264995,0.02228598095784132
cont8,0.36116252211175925,0.13746777378761363,-0.18543231552104994,0.5287402972174362,0.009014700138595838,0.4374371313783927,0.1420420792362353,1.0,0.4526575253435194,0.33658771937118415,0.30238054176765966,0.31590415212123985,0.4764015855220331,0.0435393503860251
cont9,0.9299117057620868,-0.032729128846022276,-0.4170540529290114,0.3289606391810969,-0.08820195753770199,0.7975435189948881,0.38434291217408517,0.4526575253435194,1.0,0.7856967914962641,0.6080004698114104,0.6266564373275377,0.6420276948884264,0.07415381447994188
cont10,0.808550869433555,0.063526396547325,-0.3255620442545824,0.2832942217105001,-0.064966839191118,0.8833505068489653,0.49262070698937266,0.33658771937118415,0.7856967914962641,1.0,0.7028955435077645,0.7138119332651865,0.7078763931019292,0.041808322492887705
cont11,0.596089796142411,0.11682355284147325,0.025270912781214506,0.12092660758300068,-0.15154819149023327,0.7737454535517788,0.7471079167884334,0.30238054176765966,0.6080004698114104,0.7028955435077645,1.0,0.9943841100222036,0.4662466687157811,0.04729287072139841
cont12,0.6142254546728486,0.10625016401767298,0.006110641572276844,0.13045302744643694,-0.14821668189054477,0.7851439724373066,0.7427122632499452,0.31590415212123985,0.6266564373275377,0.7138119332651865,0.9943841100222036,1.0,0.4786766747105185,0.05026657986792833
cont13,0.5348495237416716,0.023334652627749013,-0.4182025800950457,0.17934192948808353,-0.0829145172693868,0.8150910765208776,0.28839490807264995,0.4764015855220331,0.6420276948884264,0.7078763931019292,0.4662466687157811,0.4786766747105185,1.0,0.04754275116367265
cont14,0.05668837438540839,-0.045584248512058154,-0.03959231862594589,0.017445427109677173,-0.021637795140478033,0.04217771657784682,0.02228598095784132,0.0435393503860251,0.07415381447994188,0.041808322492887705,0.04729287072139841,0.05026657986792833,0.04754275116367265,1.0
