field_name,field_origin,source_name,approved_role,observed_dtype,observed_min,observed_max,category_levels,n_unique,missing_count,missing_pct,unit_or_scale,documented_meaning,quality_limitation,september_handling,meaning_status,purpose,inputs,exact_derivation,allowed_values,field_version,owner,dictionary_version
id,source,id,identifier,int64,1.0,587633.0,,188318,0,0.0,claim identifier,identifier for an insurance claim,Identifier values have no documented analytical meaning.,Use for integrity checks only. Exclude from distribution and target-effect interpretation.,documented,,,,,,,1.0.0
cat1,source,cat1,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat2,source,cat2,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat3,source,cat3,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat4,source,cat4,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat5,source,cat5,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat6,source,cat6,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat7,source,cat7,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat8,source,cat8,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat9,source,cat9,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat10,source,cat10,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat11,source,cat11,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat12,source,cat12,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat13,source,cat13,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat14,source,cat14,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat15,source,cat15,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat16,source,cat16,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat17,source,cat17,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat18,source,cat18,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat19,source,cat19,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat20,source,cat20,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat21,source,cat21,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat22,source,cat22,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat23,source,cat23,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat24,source,cat24,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat25,source,cat25,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat26,source,cat26,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat27,source,cat27,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat28,source,cat28,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat29,source,cat29,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat30,source,cat30,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat31,source,cat31,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat32,source,cat32,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat33,source,cat33,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat34,source,cat34,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat35,source,cat35,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat36,source,cat36,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat37,source,cat37,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
cat38,source,cat38,anonymous nominal categorical predictor,object,,,"[""A"", ""B""]",2,0,0.0,nominal categorical,unknown,Anonymous predictor; semantic meaning is not documented.,Treat as an unordered nominal categorical predictor. Do not infer a meaning or ordering.,unresolved,,,,,,,1.0.0
