predictor,level,row_count,mean_loss,median_loss,mean_log1p_loss,median_log1p_loss,is_rare
cat1,A,141550,3408.0915145178383,2458.6899999999996,7.809552709011222,7.807790604717265,False
cat1,B,46768,1915.19852056962,1444.8600000000001,7.311677753918878,7.276459579125284,False
cat2,A,106721,2454.1398437983153,1739.25,7.499184785480129,7.4617840600487755,False
cat2,B,81597,3800.104170741571,2833.99,7.930122819032462,7.949793688818771,False
cat3,A,177993,2902.2197510576257,2033.38,7.64791390068004,7.61794638315121,False
cat3,B,10325,5366.640013559322,4570.91,8.340880603590733,8.427686339681578,False
cat4,A,128395,2826.826831185015,1974.74,7.617179623257175,7.588698290703175,False
cat4,B,59923,3488.3922250221117,2457.71,7.833168456647892,7.807392101141857,False
cat5,A,123737,2814.648334855379,1947.07,7.609665069183168,7.574594417848441,False
cat5,B,64581,3464.009805980087,2464.84,7.831987805860841,7.8102877992186865,False
cat6,A,131693,3259.916396087871,2341.86,7.774948072666838,7.759127684268428,False
cat6,B,56625,2519.6854452980133,1637.5,7.478825512090114,7.401536468138869,False
cat7,A,183744,2908.94434169279,2073.635,7.659543829310299,7.6375405135745815,False
cat7,B,4574,8195.0785242676,7614.575,8.744973717320736,8.937950727891941,False
cat8,A,177274,2975.5585590103456,2070.73,7.666901132191204,7.63613928590328,False
cat8,B,11044,4028.9922401303875,3035.31,7.990990569336578,8.01839824055876,False
cat9,A,113122,2512.009126076272,1778.855,7.520554910959497,7.484287179289927,False
cat9,B,75196,3827.621973642215,2856.755,7.934657674853136,7.95779163053103,False
cat10,A,160213,2694.1355275789106,1902.69,7.584394375761731,7.551549386969438,False
cat10,B,28105,4993.767052481764,4089.17,8.26458477252811,8.31634181296523,False
cat11,A,168186,2810.9213719929126,1969.1350000000002,7.618744080069871,7.585857347299665,False
cat11,B,20132,4928.856368964832,3953.77,8.247001753684945,8.282677724224435,False
cat12,A,159825,2655.897436320976,1869.45,7.570621445483386,7.53393432261029,False
cat12,B,28493,5176.939968764258,4322.13,8.332578480027882,8.371734955924948,False
cat13,A,168851,2818.460441987314,1974.92,7.621679680841614,7.58878939165828,False
cat13,B,19467,4935.8141572918275,3943.1,8.243000737968323,8.279976070370669,False
cat14,A,186041,3004.308571175171,2099.37,7.677639463510351,7.649868798667986,False
cat14,B,2277,5735.962845849803,4478.24,8.361443884447727,8.40720866816091,False
cat15,A,188284,3037.267431645812,2115.39,7.6858692383610325,7.657467086014089,False
cat15,B,34,3426.3879411764706,2647.9,7.897867066121543,7.8806529940698145,True
cat16,A,181843,2932.6280914855124,2051.7,7.656553177668356,7.626911278723133,False
cat16,B,6475,5977.9873745173745,5199.6,8.510290605261755,8.556529282528611,False
cat17,A,187009,3018.2363248292863,2106.76,7.68115006767227,7.653381051187213,False
cat17,B,1309,5766.234851031321,4632.37,8.365575363249027,8.441039744088425,False
cat18,A,187331,3028.4992323747806,2110.12,7.683417438276155,7.65497389132981,False
cat18,B,987,4714.86179331307,3845.48,8.158519783288781,8.254913723353429,False
cat19,A,186510,3027.3069409683126,2108.88,7.682851579983033,7.654386352713834,False
cat19,B,1808,4072.091111725664,3069.015,8.001152086936525,8.029437634826632,False
cat20,A,188114,3034.3419256408347,2113.755,7.6850920141098085,7.656694245457119,False
cat20,B,204,5799.81024509804,4853.44,8.437902027274458,8.487563575740543,False
cat21,A,187905,3036.461993826668,2114.94,7.685631753395438,7.657254437188644,False
cat21,B,413,3435.7562711864407,2314.4,7.811371753139669,7.747337737771628,False
cat22,A,188275,3037.0614561678394,2115.39,7.68583616903998,7.657467086014089,False
cat22,B,43,4246.80534883721,2462.33,7.998289065451445,7.809269372093249,True
cat23,A,157445,2831.2413276382226,1973.44,7.620883995174589,7.588040092825138,False
cat23,B,30873,4088.380379619732,3068.2,8.017512082905881,8.02917222030351,False
cat24,A,181977,2987.4257185798206,2081.87,7.670738666116527,7.64150202932779,False
cat24,B,6341,4469.734789465384,3474.19,8.121230233705923,8.153404432763192,False
cat25,A,169969,2951.763318310986,2044.75,7.655589532376026,7.623519749407491,False
cat25,B,18349,3830.0233713008884,2811.01,7.966746630737141,7.941654809111999,False
cat26,A,177119,3001.3993590185128,2081.04,7.671182249992132,7.64110346128623,False
cat26,B,11199,3605.7241914456645,2696.47,7.918796519283881,7.9000695756617345,False
cat27,A,168250,3028.052370460624,2112.57,7.681782199545579,7.656133739829976,False
cat27,B,20068,3115.1857165636834,2139.0299999999997,7.720494124091729,7.668575121325069,False
cat28,A,180938,2965.1951838751397,2066.915,7.664640255441262,7.634296132242774,False
cat28,B,7380,4806.080231707317,3809.135,8.207324202816459,8.24541990010838,False
cat29,A,184593,3003.5051451571835,2096.08,7.676410080712567,7.648301179911957,False
cat29,B,3725,4713.914907382551,3679.46,8.15655439646755,8.210793023351128,False
cat30,A,184760,3017.7328358952154,2104.47,7.680042822032305,7.652293999103418,False
cat30,B,3558,4055.3792945474984,2989.26,7.990449510154044,8.00311561688925,False
cat31,A,182980,3031.111213356651,2109.59,7.684292907240823,7.654722808225344,False
cat31,B,5338,3250.7734113900333,2349.465,7.74125421298066,7.762368405546182,False
cat32,A,187107,3031.9235996515363,2111.04,7.683977591808047,7.6554095840407435,False
cat32,B,1211,3873.8475061932286,2886.85,7.9840923909070725,7.968267559605666,False
cat33,A,187361,3028.486762933588,2110.54,7.6835881938294035,7.655172818073324,False
cat33,B,957,4770.167084639499,3517.38,8.139982833590182,8.16575593538234,False
cat34,A,187734,3032.2243383191108,2112.36,7.684458339667285,7.656034376980082,False
cat34,B,584,4681.0862328767125,3547.045,8.151762357394867,8.17415064629376,False
cat35,A,188105,3035.27734270753,2114.28,7.685303133611187,7.656942470424755,False
cat35,B,213,4856.872018779342,3580.18,8.21964886330644,8.183447634024201,False
cat36,A,156313,2831.646554797106,1972.3,7.621222055673002,7.58746254717538,False
cat36,B,32005,4041.936896422434,3008.05,8.001832462659046,8.009379693308205,False
cat37,A,165729,3025.5396695810628,2100.03,7.67824573908679,7.650182979657861,False
cat37,B,22589,3123.896338483333,2233.02,7.742119751325956,7.71155793214055,False
cat38,A,169323,2944.27730013052,2031.72,7.652222345430272,7.617130076646733,False
cat38,B,18995,3866.885654119505,2886.87,7.986179887366506,7.968274485149148,False
cat39,A,183393,3029.637268434455,2107.55,7.683539835258869,7.653755786445885,False
cat39,B,4925,3324.0793340101523,2459.61,7.7740731265354155,7.808164565667229,False
cat40,A,180119,2959.775965722661,2065.38,7.663748113619737,7.6335535630665765,False
cat40,B,8199,4741.245410415904,3721.56,8.172714316226745,8.222166882628402,False
cat41,A,181177,2987.398415472163,2080.46,7.6705893064962964,7.640824849539501,False
cat41,B,7141,4304.36571488587,3280.98,8.074551515577232,8.096202177786253,False
cat42,A,186623,3031.9743241722613,2110.03,7.683727509536954,7.654931259021619,False
cat42,B,1695,3627.8548613569324,2719.88,7.925930468142622,7.908710636377453,False
cat43,A,184110,3016.3629148878385,2100.815,7.679271492403367,7.650556536120501,False
cat43,B,4208,3955.0337523764256,2876.495,7.976249213268261,7.964674008764922,False
cat44,A,172716,2995.4635541003727,2062.545,7.666041013328129,7.632180656419447,False
cat44,B,15602,3500.889314190488,2648.13,7.905832040625275,7.881986563012497,False
cat45,A,183991,3003.736869520792,2093.86,7.676082570255449,7.64724200434764,False
cat45,B,4327,4466.098435405593,3424.09,8.103679910318078,8.138883027723345,False
cat46,A,187436,3028.1084648626734,2110.245,7.683395731887473,7.655033099851155,False
cat46,B,882,4998.662210884354,3824.9449999999997,8.21969246457619,8.249559743167136,False
cat47,A,187617,3031.022527329613,2111.88,7.684175687598418,7.655807224711368,False
cat47,B,701,4727.5389158345215,3473.37,8.149416798379724,8.153168446598945,False
cat48,A,188049,3035.5637408866837,2113.99,7.685283854264837,7.6568053633368125,False
cat48,B,269,4277.443791821561,3222.68,8.121887156759138,8.07827884311723,False
cat49,A,179127,3020.376721208975,2108.41,7.6806919771178555,7.654163566515831,False
cat49,B,9191,3367.896567294092,2285.54,7.7875551485830155,7.734795036931534,False
cat50,A,137611,3231.7804930565144,2313.21,7.765649826070443,7.746823655580598,False
cat50,B,50707,2509.649808902124,1614.31,7.469499140955624,7.38728216770102,False
cat51,A,187071,3029.16784199582,2110.51,7.68339906241789,7.655158610332474,False
cat51,B,1247,4262.951820368885,3034.37,8.06221744205239,8.018088607100943,False
cat52,A,179505,3016.8080650678257,2106.89,7.68021306303906,7.653442726136529,False
cat52,B,8813,3455.489228412572,2345.38,7.801893257119036,7.76062899393104,False
cat53,A,172949,2995.085321337504,2079.27,7.669582819626963,7.640252971963382,False
cat53,B,15369,3512.8080584293057,2547.67,7.869611040676225,7.843326933460791,False
cat54,A,183762,3033.420964998204,2115.385,7.685102906355191,7.657464723494982,False
cat54,B,4556,3195.3149517120282,2119.535,7.7183605966141275,7.659423672300498,False
cat55,A,188173,3036.1642069797476,2114.49,7.685508545481066,7.65704174313406,False
cat55,B,145,4560.213586206896,3580.65,8.203666393157542,8.183578867070546,True
cat56,A,188136,3036.2174214929623,2114.4849999999997,7.6854976480178125,7.657039379609856,False
cat56,B,182,4195.370769230769,3368.23,8.109591474380839,8.122439273518019,True
cat57,A,185296,2919.869698644331,2081.9300000000003,7.662956711535278,7.641530835307914,False
cat57,B,3022,10239.967772998014,9532.34,9.093151666173306,9.162550387579932,False
cat58,A,188079,3033.4903597956177,2113.63,7.685000950768947,7.65663513527809,False
cat58,B,239,6064.957782426778,4663.13,8.399319398091471,8.447656600712207,False
cat59,A,188018,3032.3965407035494,2113.2700000000004,7.684743446951349,7.6564648782256555,False
cat59,B,300,6134.085,4807.255,8.41545915639348,8.478089370233103,False
