column,level_count,minimum_level_support,rare_level_count,rare_row_count,rare_row_share,dominant_level,dominant_level_count,dominant_level_share,has_rare_level,has_dominant_level
cat1,2,46768,0,0,0.0,A,141550,0.7516541169723553,False,False
cat2,2,81597,0,0,0.0,A,106721,0.566706315912446,False,False
cat3,2,10325,0,0,0.0,A,177993,0.9451725273208084,False,False
cat4,2,59923,0,0,0.0,A,128395,0.681798872120562,False,False
cat5,2,64581,0,0,0.0,A,123737,0.6570641149544919,False,False
cat6,2,56625,0,0,0.0,A,131693,0.6993118023768307,False,False
cat7,2,4574,0,0,0.0,A,183744,0.975711296848947,False,False
cat8,2,11044,0,0,0.0,A,177274,0.9413545173589354,False,False
cat9,2,75196,0,0,0.0,A,113122,0.600696693890122,False,False
cat10,2,28105,0,0,0.0,A,160213,0.8507577608088446,False,False
cat11,2,20132,0,0,0.0,A,168186,0.893095721067556,False,False
cat12,2,28493,0,0,0.0,A,159825,0.848697416072813,False,False
cat13,2,19467,0,0,0.0,A,168851,0.8966269820197751,False,False
cat14,2,2277,0,0,0.0,A,186041,0.9879087500929279,False,False
cat15,2,34,1,34,0.00018054567274503766,A,188284,0.9998194543272549,True,True
cat16,2,6475,0,0,0.0,A,181843,0.9656166696757612,False,False
cat17,2,1309,0,0,0.0,A,187009,0.993048991599316,False,True
cat18,2,987,0,0,0.0,A,187331,0.9947588653235485,False,True
cat19,2,1808,0,0,0.0,A,186510,0.9903992183434404,False,True
cat20,2,204,0,0,0.0,A,188114,0.9989167259635298,False,True
cat21,2,413,0,0,0.0,A,187905,0.9978069010928323,False,True
cat22,2,43,1,43,0.0002283371743540182,A,188275,0.999771662825646,True,True
cat23,2,30873,0,0,0.0,A,157445,0.8360592189806604,False,False
cat24,2,6341,0,0,0.0,A,181977,0.9663282320330505,False,False
cat25,2,18349,0,0,0.0,A,169969,0.9025637485529795,False,False
cat26,2,11199,0,0,0.0,A,177119,0.9405314414978919,False,False
cat27,2,20068,0,0,0.0,A,168250,0.8934355717456642,False,False
cat28,2,7380,0,0,0.0,A,180938,0.960810968680636,False,False
