predictor,level_count,supported_level_count,rare_level_count,rare_row_count,accounted_row_count,supported_comparison_available,supported_mean_loss_range,supported_median_loss_range,supported_mean_log1p_loss_range
cat1,2,2,0,0,188318,True,1492.8929939482182,1013.8299999999995,0.49787495509234425
cat2,2,2,0,0,188318,True,1345.9643269432559,1094.7399999999998,0.4309380335523336
cat3,2,2,0,0,188318,True,2464.4202625016965,2537.5299999999997,0.6929667029106934
cat4,2,2,0,0,188318,True,661.5653938370965,482.97,0.21598883339071673
cat5,2,2,0,0,188318,True,649.3614711247083,517.7700000000002,0.22232273667767277
cat6,2,2,0,0,188318,True,740.2309507898576,704.3600000000001,0.29612256057672415
cat7,2,2,0,0,188318,True,5286.1341825748095,5540.94,1.0854298880104372
cat8,2,2,0,0,188318,True,1053.433681120042,964.5799999999999,0.32408943714537397
cat9,2,2,0,0,188318,True,1315.612847565943,1077.9,0.41410276389363876
cat10,2,2,0,0,188318,True,2299.6315249028535,2186.48,0.6801903967663794
cat11,2,2,0,0,188318,True,2117.934996971919,1984.6349999999998,0.6282576736150736
cat12,2,2,0,0,188318,True,2521.042532443282,2452.6800000000003,0.7619570345444959
cat13,2,2,0,0,188318,True,2117.3537153045136,1968.1799999999998,0.6213210571267096
cat14,2,2,0,0,188318,True,2731.654274674632,2378.87,0.6838044209373759
cat15,2,1,1,34,188318,False,,,
cat16,2,2,0,0,188318,True,3045.359283031862,3147.9000000000005,0.8537374275933987
cat17,2,2,0,0,188318,True,2747.998526202035,2525.6099999999997,0.6844252955767569
cat18,2,2,0,0,188318,True,1686.3625609382893,1735.3600000000001,0.47510234501262616
cat19,2,2,0,0,188318,True,1044.7841707573516,960.1349999999998,0.3183005069534923
cat20,2,2,0,0,188318,True,2765.468319457205,2739.6849999999995,0.7528100131646491
cat21,2,2,0,0,188318,True,399.2942773597729,199.46000000000004,0.12573999974423078
cat22,2,1,1,43,188318,False,,,
cat23,2,2,0,0,188318,True,1257.1390519815095,1094.7599999999998,0.3966280877312922
cat24,2,2,0,0,188318,True,1482.3090708855634,1392.3200000000002,0.45049156758939546
cat25,2,2,0,0,188318,True,878.2600529899023,766.2600000000002,0.3111570983611154
cat26,2,2,0,0,188318,True,604.3248324271517,615.4299999999998,0.24761426929174934
cat27,2,2,0,0,188318,True,87.13334610305947,26.45999999999958,0.03871192454615002
cat28,2,2,0,0,188318,True,1840.885047832177,1742.2200000000003,0.5426839473751963
cat29,2,2,0,0,188318,True,1710.4097622253676,1583.38,0.4801443157549832
cat30,2,2,0,0,188318,True,1037.646458652283,884.7900000000004,0.31040668812173955
cat31,2,2,0,0,188318,True,219.66219803338208,239.875,0.056961305739837265
cat32,2,2,0,0,188318,True,841.9239065416923,775.81,0.30011479909902583
cat33,2,2,0,0,188318,True,1741.680321705911,1406.8400000000001,0.4563946397607781
cat34,2,2,0,0,188318,True,1648.8618945576018,1434.685,0.46730401772758245
cat35,2,2,0,0,188318,True,1821.5946760718125,1465.8999999999996,0.5343457296952536
cat36,2,2,0,0,188318,True,1210.290341625328,1035.7500000000002,0.38061040698604387
cat37,2,2,0,0,188318,True,98.35666890227003,132.98999999999978,0.06387401223916545
cat38,2,2,0,0,188318,True,922.6083539889851,855.1499999999999,0.3339575419362344
cat39,2,2,0,0,188318,True,294.44206557569714,352.05999999999995,0.09053329127654663
cat40,2,2,0,0,188318,True,1781.469444693243,1656.1799999999998,0.5089662026070085
cat41,2,2,0,0,188318,True,1316.9672994137072,1200.52,0.4039622090809356
cat42,2,2,0,0,188318,True,595.8805371846711,609.8499999999999,0.24220295860566754
cat43,2,2,0,0,188318,True,938.670837488587,775.6799999999998,0.29697772086489405
cat44,2,2,0,0,188318,True,505.42576009011555,585.585,0.2397910272971462
cat45,2,2,0,0,188318,True,1462.3615658848007,1330.23,0.42759734006262917
cat46,2,2,0,0,188318,True,1970.5537460216806,1714.6999999999998,0.536296732688716
cat47,2,2,0,0,188318,True,1696.5163885049087,1361.4899999999998,0.4652411107813057
cat48,2,2,0,0,188318,True,1241.880050934877,1108.69,0.43660330249430146
cat49,2,2,0,0,188318,True,347.519846085117,177.1300000000001,0.10686317146516
cat50,2,2,0,0,188318,True,722.1306841543906,698.9000000000001,0.296150685114819
cat51,2,2,0,0,188318,True,1233.783978373065,923.8599999999997,0.3788183796344997
cat52,2,2,0,0,188318,True,438.68116334474644,238.49000000000024,0.12168019407997566
cat53,2,2,0,0,188318,True,517.7227370918017,468.4000000000001,0.2000282210492621
cat54,2,2,0,0,188318,True,161.89398671382423,4.149999999999636,0.0332576902589361
cat55,2,1,1,145,188318,False,,,
cat56,2,1,1,182,188318,False,,,
cat57,2,2,0,0,188318,True,7320.098074353683,7450.41,1.4301949546380275
cat58,2,2,0,0,188318,True,3031.4674226311604,2549.5,0.7143184473225244
cat59,2,2,0,0,188318,True,3101.6884592964507,2693.9849999999997,0.7307157094421308
cat60,2,2,0,0,188318,True,893.8981982754885,929.4750000000004,0.30357029013736625
cat61,2,2,0,0,188318,True,1424.6738195141043,1324.6750000000002,0.4401188837245771
cat62,2,1,1,45,188318,False,,,
cat63,2,1,1,79,188318,False,,,
cat64,2,1,1,47,188318,False,,,
cat65,2,2,0,0,188318,True,1681.8624447682046,1547.9250000000002,0.4719434154886155
cat66,2,2,0,0,188318,True,814.7806279128931,769.0349999999999,0.2666289031332063
cat67,2,2,0,0,188318,True,1941.4379662630108,1738.1800000000003,0.5001198956314772
cat68,2,1,1,142,188318,False,,,
cat69,2,2,0,0,188318,True,1212.3418267395723,1188.4700000000003,0.43219658015979245
cat70,2,1,1,23,188318,False,,,
cat71,2,2,0,0,188318,True,838.3587142804436,447.28499999999985,0.1946729465040864
cat72,2,2,0,0,188318,True,1371.5074910394756,1056.635,0.4002618072009918
cat73,3,2,1,26,188318,True,1170.9396009857005,771.9399999999998,0.38197210384860636
cat74,3,2,1,26,188318,True,442.278981017399,387.97000000000025,0.14143962354618456
cat75,3,2,1,1,188318,True,580.1606140950521,165.2299999999998,0.11678849183659601
cat76,3,3,0,0,188318,True,2232.4667247841016,2115.605,0.751547110210347
cat77,4,3,1,49,188318,True,1369.745574542666,912.0549999999998,0.5336248370232397
cat78,4,4,0,0,188318,True,3430.1004421828825,3440.5999999999995,0.9642521871131127
cat79,4,4,0,0,188318,True,3841.987111892729,3581.9700000000003,0.9733104437943467
cat80,4,4,0,0,188318,True,3253.368061371429,3078.5,0.934459319621558
cat81,4,4,0,0,188318,True,2199.577069638562,2380.0299999999997,0.7919360615867426
cat82,4,4,0,0,188318,True,1265.7852204491428,693.3900000000001,0.37771886458644754
cat83,4,4,0,0,188318,True,441.3303080323667,233.99500000000035,0.125186030077435
cat84,4,4,0,0,188318,True,1711.238046642428,1160.79,0.4447166656759771
cat85,4,4,0,0,188318,True,3421.535993649884,3445.6450000000004,0.9942411920328986
