predictor,quantile_bin,row_count,mean_loss,median_loss,mean_log1p_loss,median_log1p_loss
cont1,0,19251,3036.539403147888,2209.82,7.702119992969348,7.701118766417194
cont1,1,20166,3045.865114053357,2194.015,7.7013884906576,7.6939441591340465
cont1,2,17328,3215.119048361034,2192.145,7.727293688332791,7.693091859962355
cont1,3,19430,3133.854526505404,2136.54,7.704273391336575,7.66741091369216
cont1,4,19216,3006.873916007494,2045.835,7.659778464105209,7.624049976143704
cont1,5,17969,3046.1935249596527,2111.94,7.689586488329507,7.655835621566892
cont1,6,18512,3064.8137921348316,2110.4449999999997,7.6821352159478105,7.655127825862191
cont1,7,19980,2777.3741306306306,1937.0349999999999,7.60342162397179,7.569429839759568
cont1,8,17941,2938.553535477398,2014.89,7.652849558042562,7.608816064210554
cont1,9,18525,3132.963475303644,2237.6,7.742517364804308,7.713605949455167
cont2,0,21257,2120.2675923225293,1740.26,7.443536743371057,7.462364268078242
cont2,1,21001,2650.0547373934573,2109.64,7.630682679222788,7.654746498014193
cont2,2,14370,2815.646257480863,2141.76,7.664267683349555,7.669849967221888
cont2,3,35670,3008.0306952621254,2190.185,7.702062736220921,7.6921977720463435
cont2,4,20975,3216.650566865316,2221.06,7.7384021284824005,7.706189972535279
cont2,5,20190,3398.676783060921,2258.145,7.7686729521188305,7.722741702079688
cont2,6,32172,3399.2396817108047,2225.165,7.756125590107863,7.708035649987854
cont2,7,15475,3422.4219560581587,2107.07,7.727833321066864,7.653528115941038
cont2,8,7208,3481.2555799112097,2123.25,7.736766727001873,7.661174061883431
cont3,0,21348,2590.691484448192,1955.21,7.58471494107512,7.5787642042341545
cont3,1,18185,2785.277210338191,2053.95,7.6406406288099795,7.62800679573409
cont3,2,19942,2857.238864206198,2024.56,7.646783343584664,7.61360148451949
cont3,3,24771,2798.176765168948,2086.5,7.64218364240199,7.64372245672501
cont3,4,17427,3013.7799064669766,2115.64,7.679696568823806,7.65758520471407
cont3,5,16490,3066.767551243178,2205.435,7.709328398747437,7.6991333670612665
cont3,6,20105,3002.829257398657,2088.59,7.677105318931022,7.644723153465761
cont3,7,12976,3295.422866060419,2206.87,7.7434144880652855,7.699783509886775
cont3,8,19045,3406.9738199002363,2206.41,7.751963733711484,7.6995751615450665
cont3,9,18029,3806.371470963448,2426.01,7.837966984974993,7.794415326031257
cont4,0,21658,3169.809776064272,2204.16,7.720870821114224,7.698555347349645
cont4,1,16384,3360.094924926758,2236.545,7.748289324589068,7.713134560777307
cont4,2,18526,3010.060331426104,2126.8900000000003,7.681990914675646,7.662886152979105
cont4,3,19274,2999.563933277991,2094.66,7.673531913461078,7.64762380210264
cont4,4,19911,3261.8867786650594,2265.37,7.753413336874353,7.725934711577304
cont4,5,17732,3079.5791721182045,2128.855,7.691014312992291,7.663809181045684
cont4,6,21461,2819.607919947812,1951.24,7.610324543539557,7.576732710234878
cont4,7,16640,2812.005989783654,2043.39,7.649583673211424,7.622854735471479
cont4,8,17913,2921.2507335454698,2081.25,7.668304245887768,7.64120431881545
cont4,9,18819,2950.081024496519,2070.77,7.666723033982406,7.636158593356985
cont5,0,56814,3124.3627132396946,2150.7349999999997,7.709988445871419,7.674029772410928
cont5,1,21740,2942.2949567617293,2057.1800000000003,7.662879892814874,7.629577373104489
cont5,2,21753,2957.877732266814,2111.01,7.673298918044197,7.655395379663427
cont5,3,13313,3036.0379989483963,2163.87,7.699192008087406,7.680115592444369
cont5,4,18640,3230.4066620171675,2199.785,7.721807123784147,7.696569379366743
cont5,5,19089,2916.6059866939077,2034.82,7.648935945963773,7.618653965117738
cont5,6,18994,2860.9300747604507,2090.44,7.648643551932209,7.645608101782846
cont5,7,17975,3088.759769123783,2093.7,7.684476521232825,7.647165624011721
cont6,0,20708,2870.491589240873,2139.515,7.669011984158813,7.668801733200722
cont6,1,17014,2855.2277101210766,2134.615,7.662819813239299,7.666509939596524
cont6,2,19342,2901.5791495191806,2096.7349999999997,7.662341936532386,7.648613470180636
cont6,3,18388,3039.7723819882535,2102.38,7.679930495486425,7.651300851715829
cont6,4,19090,2981.9643797799895,2032.96,7.658492263539608,7.617739909958242
cont6,5,18478,3203.304261824873,2107.255,7.704790657146991,7.653615852535532
cont6,6,18812,3127.3684302572824,2063.6850000000004,7.683580994434994,7.632732948568579
cont6,7,18870,2948.3583550609433,2054.11,7.656544552909791,7.628084653430944
cont6,8,18978,3109.0192680999053,2175.635,7.713033732884203,7.6855353427030675
cont6,9,18638,3345.8415511320954,2256.545,7.769922757852786,7.722033218448622
cont7,0,18925,2773.282565389696,2085.55,7.642366641975674,7.643267263319851
cont7,1,19097,2857.0948285070954,2131.6,7.667348420244017,7.665097171584079
cont7,2,18496,2743.567205882353,2024.94,7.621535360933729,7.613789069352977
cont7,3,19223,2914.7202205691096,2062.83,7.655702904130198,7.632318758868239
cont7,4,18426,2871.200263215022,2008.56,7.638127639719343,7.6056710711714555
cont7,5,19000,2841.345462631579,1994.63,7.630227522419813,7.598715050817509
cont7,6,18686,2959.9143390773843,2070.9700000000003,7.669189583793087,7.636255111826815
cont7,7,18867,3095.981560926485,2180.98,7.709704320801829,7.6879880004481675
cont7,8,18783,3356.2799590054838,2226.65,7.755813010264088,7.7087024971450635
cont7,9,18815,3960.2556577199043,2440.88,7.8686541664916705,7.800523513414098
cont8,0,27577,2864.961548391776,2075.39,7.650350183190047,7.638386087913736
cont8,1,14052,2931.988860660404,2080.645,7.664544595734741,7.640913725507856
cont8,2,17193,3062.5457203513056,2086.09,7.676639115191279,7.643526030248965
cont8,3,16621,2869.471471030624,2032.32,7.63746089569381,7.617425204094744
cont8,4,19402,3033.0913508916606,2064.3599999999997,7.6740418712253256,7.6330598243294165
cont8,5,19522,3102.8417580165965,2127.235,7.698208613441199,7.663048276626167
cont8,6,17958,3103.3725676578683,2183.005,7.7098327529367765,7.688915625482107
cont8,7,19348,3072.848921852388,2139.135,7.696038242521319,7.668624183039804
cont8,8,17826,3230.627772354987,2202.1,7.730057529327064,7.697620737388366
cont8,9,18819,3147.640200860832,2188.35,7.729625946727853,7.691359975102657
cont9,0,19545,3004.2933977999487,2197.72,7.692418068697446,7.695630651842711
cont9,1,18348,2894.8153455417487,2135.865,7.670961068909103,7.667095080627062
cont9,2,24164,3053.9015630690287,2147.5,7.695680848551556,7.672525203171723
cont9,3,13500,2802.7980074074076,2036.02,7.632250920155527,7.6192432330809154
cont9,4,19334,3170.1227480086895,2108.37,7.697252787602318,7.654144603507917
cont9,5,20115,3006.690434998757,2038.21,7.660053629399723,7.6203177569337575
cont9,6,18281,3137.074839997812,2103.18,7.699834892056914,7.6516811215290925
cont9,7,17861,3128.9541039135547,2079.71,7.683276299659166,7.640464460603866
cont9,8,18508,2972.882975470067,2037.975,7.665038895312568,7.620202509511911
cont9,9,18662,3134.2920147894115,2243.875,7.745628720879486,7.71640511891971
cont10,0,20388,2734.562113498136,2093.055,7.635955737525086,7.646857654824469
cont10,1,17436,3106.683139481532,2261.035,7.732550492305106,7.724020129567087
cont10,2,19508,2960.6019971293827,2113.4300000000003,7.671825953042235,7.6565405516004885
cont10,3,23210,3087.8380956484275,2142.565,7.698909814662397,7.670225606851782
cont10,4,13807,3033.9254313029624,2036.88,7.6618282744597215,7.619665330792968
cont10,5,21072,3122.1572854973424,2095.37,7.6942300130110866,7.64796255494117
cont10,6,17462,3117.114668995533,2063.55,7.677965200039512,7.6326675639251595
cont10,7,18218,3236.6810835437477,2147.3,7.716080779257037,7.672432104440745
cont10,8,18903,2809.10450351796,1989.57,7.627105013785715,7.596176308865482
cont10,9,18314,3192.307045429726,2211.4300000000003,7.7424596401791055,7.701846735961395
cont11,0,19165,2727.8454975215236,2038.08,7.621593557164306,7.620254004723864
cont11,1,20938,2817.7770756519244,2088.995,7.651373071501246,7.6449169523797025
cont11,2,22132,2935.789733417676,2096.09,7.6675266941842875,7.648305948333561
cont11,3,13189,2834.684835848055,1982.67,7.629495801151734,7.592703943365181
cont11,4,19105,2718.860548547501,1978.09,7.606836610252013,7.590392422082391
cont11,5,19545,2960.212812995651,2132.02,7.678248460370336,7.665294094892465
cont11,6,17784,3112.9654487179487,2145.48,7.700276657330399,7.671584568293597
cont11,7,18922,3259.2524215199237,2146.945,7.72161366452264,7.672266848891963
cont11,8,21623,3233.1943296489844,2211.2,7.741449875241625,7.701742774468154
cont11,9,15915,3870.620369462771,2368.45,7.8514531109883094,7.770413139686797
cont12,0,19221,2697.27889755996,2027.51,7.614880562803178,7.615056812385398
cont12,1,19031,2858.3794976617096,2134.85,7.668099236836561,7.666619972895114
cont12,2,18383,2891.306595767829,2060.02,7.6508166893763025,7.630956284870546
cont12,3,19273,2916.2171068333937,2028.18,7.6528133158432565,7.6153870495430365
cont12,4,18784,2769.363872977002,1988.745,7.616397492487686,7.595761766149014
cont12,5,21558,2999.4215409592725,2119.97,7.679387374846898,7.659628810148622
cont12,6,18066,2968.964302003764,2103.12,7.673107432991406,7.651652599393299
cont12,7,16645,3253.9160654851303,2142.99,7.7185598199541845,7.670423858000711
cont12,8,19513,3252.180088146364,2225.34,7.747533030742444,7.708114260513291
cont12,9,17844,3835.922792535306,2370.225,7.849464156165261,7.771161976361423
cont13,0,21045,2985.0807023045854,2038.66,7.658864050293245,7.620538406281163
cont13,1,19893,3043.4716875282766,2130.26,7.687638105791786,7.66446863310293
cont13,2,15706,2983.2476142875335,2133.0950000000003,7.680969712779413,7.665797948184462
cont13,3,20127,3140.3529810702044,2215.23,7.71578528196574,7.703562833095019
cont13,4,18205,3146.468321340291,2135.85,7.70285650287375,7.667088060997839
cont13,5,18415,3015.0472880803695,2126.69,7.684420660726418,7.662792163157926
cont13,6,18948,3020.336909436352,2037.0949999999998,7.664224520278895,7.61977082702102
cont13,7,18488,2840.804184335785,2009.22,7.629270632153889,7.605999437394045
cont13,8,19424,3016.173863776771,2151.19,7.697660214349181,7.674241206472804
cont13,9,18067,3178.1666519067912,2210.25,7.739009738015366,7.701313245473995
cont14,0,18842,3372.381257828256,2476.7,7.823386810651429,7.815085988963523
cont14,1,18833,3288.576161524983,2357.87,7.77896434297835,7.765937969792517
cont14,2,18822,2764.6716783551165,1870.71,7.564018451974644,7.534607730492855
cont14,3,18831,2640.7562880356854,1787.74,7.53302928403507,7.489266740358877
cont14,4,18840,2842.2161295116775,1905.875,7.592083160320398,7.553221036133978
cont14,5,18837,2787.2871890428414,1975.71,7.626361615423009,7.589189125511699
cont14,6,18829,3048.4320510914017,2166.72,7.709848156806018,7.6814312029272775
cont14,7,18831,3336.606374595083,2410.09,7.799727444166139,7.787834206393631
cont14,8,18839,3200.6941700727216,2193.18,7.726783965670473,7.693563679402463
cont14,9,18814,3091.5564967577334,2122.1499999999996,7.704789496250735,7.660656113841368
