predictor,pearson_loss,spearman_loss,pearson_log1p_loss,spearman_log1p_loss,requested_quantile_bins,actual_quantile_bins,assigned_row_count,unassigned_row_count,quantile_bins_reduced
cont1,-0.010236937708398845,-0.01764072831144623,-0.00733539408777598,-0.01764072831144623,10,10,188318,0,False
cont2,0.14152795887905745,0.08006607540950302,0.10466624302016524,0.08006607540950302,10,9,188318,0,True
cont3,0.11105330817721677,0.06835347027514971,0.08154779179810873,0.06835347027514971,10,10,188318,0,False
cont4,-0.035830809830876796,-0.027877990557941764,-0.027522586560440956,-0.027877990557941764,10,10,188318,0,False
cont5,-0.011354502446472417,-0.015114455480742396,-0.014957660604297382,-0.015114455480742396,10,8,188318,0,True
cont6,0.040966824749897456,0.019696972031271676,0.03151659484759455,0.019696972031271676,10,10,188318,0,False
cont7,0.11979887050310217,0.054927504095787553,0.08509461187717637,0.054927504095787553,10,10,188318,0,False
cont8,0.03050837958744259,0.027495350077645885,0.032042305320034735,0.027495350077645885,10,10,188318,0,False
cont9,0.014455587837242458,0.004401018221821646,0.01741715375231009,0.004401018221821646,10,10,188318,0,False
cont10,0.020236142979713753,0.003041779835933421,0.010603506340775299,0.003041779835933421,10,10,188318,0,False
cont11,0.09980638463804593,0.054323258274454535,0.0727602035769871,0.054323258274454535,10,10,188318,0,False
cont12,0.09872384974321868,0.053623504201912364,0.07226599661669447,0.053623504201912364,10,10,188318,0,False
cont13,-0.004022110368734249,0.007046306382375308,0.003276277070240695,0.007046306382375308,10,10,188318,0,False
cont14,0.01929782972866849,0.0016665484785324414,0.025947829291935096,0.0016665484785324414,10,10,188318,0,False
