column,role,count,unique_count,mean,std,min,q1,median,q3,max,iqr,skewness,strong_skew,lower_iqr_fence,upper_iqr_fence,iqr_outlier_count,iqr_outlier_share,summary_finite,positive_iqr
cont1,continuous_predictor,188318,647,0.4938613645641946,0.1876401764138862,1.6e-05,0.34609,0.475784,0.623912,0.984975,0.277822,0.516424021216252,False,-0.07064300000000001,1.040645,0,0.0,True,True
cont2,continuous_predictor,188318,33,0.5071883561794411,0.20720173860981367,0.001149,0.358319,0.555782,0.681761,0.862654,0.32344199999999995,-0.3109412513683033,False,-0.1268439999999999,1.1669239999999999,0,0.0,True,True
cont3,continuous_predictor,188318,76,0.49891845072165164,0.20210460819343737,0.002634,0.336963,0.527991,0.634224,0.944251,0.297261,-0.01000228391208702,False,-0.10892849999999998,1.0801155,0,0.0,True,True
cont4,continuous_predictor,188318,112,0.49181230258923736,0.21129221269283563,0.176921,0.327354,0.452887,0.652072,0.954297,0.324718,0.4160960294956771,False,-0.159723,1.139149,0,0.0,True,True
cont5,continuous_predictor,188318,141,0.4874277287832284,0.209026828544504,0.281143,0.281143,0.422268,0.643315,0.983674,0.362172,0.6816224364137884,False,-0.26211500000000004,1.186573,0,0.0,True,True
cont6,continuous_predictor,188318,2573,0.49094453373548996,0.2052725698355303,0.012683,0.336105,0.440945,0.655021,0.997162,0.318916,0.4612142679626869,False,-0.14226899999999998,1.133395,0,0.0,True,True
cont7,continuous_predictor,188318,5632,0.4849702050680232,0.1784501639607092,0.069503,0.350175,0.438285,0.591045,1.0,0.24087000000000003,0.8260528331279868,False,-0.011130000000000029,0.95235,2659,0.014119733642031033,True,True
cont8,continuous_predictor,188318,201,0.4864373158699646,0.19937045456133262,0.23688,0.3128,0.44106,0.62358,0.9802,0.31078,0.6766340713246545,False,-0.15336999999999995,1.08975,0,0.0,True,True
cont9,continuous_predictor,188318,347,0.48550631989507115,0.18166017135075613,8e-05,0.35897,0.44145,0.56682,0.9954,0.20784999999999998,1.072428719811583,True,0.04719500000000004,0.878595,13194,0.07006234135876549,True,True
cont10,continuous_predictor,188318,174,0.4980658504232204,0.18587672593201843,0.0,0.36458,0.46119,0.61459,0.99498,0.25000999999999995,0.35500094742512944,False,-0.010434999999999917,0.9896049999999998,140,0.0007434233583619198,True,True
cont11,continuous_predictor,188318,326,0.49351100855467883,0.20973651144747818,0.035321,0.310961,0.457203,0.678924,0.998742,0.367963,0.280821428437542,False,-0.24098349999999996,1.2308685,0,0.0,True,True
cont12,continuous_predictor,188318,328,0.4931504256258032,0.20942662107602886,0.036232,0.311661,0.462286,0.675759,0.998484,0.364098,0.29199208040362884,False,-0.23448599999999992,1.221906,0,0.0,True,True
cont13,continuous_predictor,188318,353,0.49313761583597954,0.21277724232240966,0.000228,0.315758,0.363547,0.689974,0.988494,0.374216,0.38074220048057705,False,-0.24556599999999995,1.2512979999999998,0,0.0,True,True
cont14,continuous_predictor,188318,18740,0.49571701797491474,0.22248753955922573,0.179722,0.29461,0.407403,0.724623,0.844848,0.43001300000000003,0.24867408719289877,False,-0.3504095000000001,1.3696425,0,0.0,True,True
loss,regression_target,188318,158223,3037.3376856699833,2904.086186390403,0.67,1204.46,2115.5699999999997,3864.045,121012.25,2659.585,3.7949583775378586,True,-2784.9175,7853.422500000001,11554,0.061353667732240144,True,True
